"date","hiato"
1996-01-01,-0.00271611917782482
1996-02-01,-0.00282902979445616
1996-03-01,-0.00305485102771907
1996-04-01,-0.00339358287761345
1996-05-01,-0.00270807868187692
1996-06-01,-0.000998338440509594
1996-07-01,0.00173563784648856
1996-08-01,0.00294240353337179
1996-09-01,0.0026219586201396
1996-10-01,0.000774303106792351
1996-11-01,-0.000218338101638612
1996-12-01,-0.000355965005153862
1997-01-01,0.000361422396247009
1997-02-01,0.000744702449411794
1997-03-01,0.000793875154341143
1997-04-01,0.000508940511033856
1997-05-01,0.000406001466931691
1997-06-01,0.000485058022034499
1997-07-01,0.000746110176342116
1997-08-01,0.0010767905826625
1997-09-01,0.00147709924099519
1997-10-01,0.0019470361513405
1997-11-01,0.00137924326542147
1997-12-01,-0.000226279416761948
1998-01-01,-0.00286953189520958
1998-02-01,-0.00405319609341422
1998-03-01,-0.00377727201137544
1998-04-01,-0.00204175964909355
1998-05-01,-0.00110156182170304
1998-06-01,-0.000956678529203886
1998-07-01,-0.00160710977159634
1998-08-01,-0.00238938525349717
1998-09-01,-0.00330350497490654
1998-10-01,-0.0043494689358251
1998-11-01,-0.00502385822418557
1998-12-01,-0.00532667283998974
1999-01-01,-0.00525791278323656
1999-02-01,-0.00519728818162069
1999-03-01,-0.00514479903514267
1999-04-01,-0.00510044534380115
1999-05-01,-0.0050390229131152
1999-06-01,-0.00496053174308342
1999-07-01,-0.00486497183370734
1999-08-01,-0.00506735298108262
1999-09-01,-0.00556767518521077
1999-10-01,-0.00636593844609024
1999-11-01,-0.00676605042674256
1999-12-01,-0.00676801112716754
2000-01-01,-0.0063718205473644
2000-02-01,-0.00576890749189089
2000-03-01,-0.00495927196074514
2000-04-01,-0.00394291395392854
2000-05-01,-0.00298163898677783
2000-06-01,-0.00207544705929319
2000-07-01,-0.00122433817147448
2000-08-01,-0.000543307320913944
2000-09-01,-3.23545076111429e-05
2000-10-01,0.000308520268433528
2000-11-01,0.000562348761119364
2000-12-01,0.000729130970447241
2001-01-01,0.000808866896415146
2001-02-01,0.000397150705595861
2001-03-01,-0.000506017602010854
2001-04-01,-0.00190063802640614
2001-05-01,-0.00314881461270025
2001-06-01,-0.00425054736089401
2001-07-01,-0.00520583627098728
2001-08-01,-0.00634028129527053
2001-09-01,-0.00765388243374264
2001-10-01,-0.00914663968640519
2001-11-01,-0.00940984923476695
2001-12-01,-0.00844351107882819
2002-01-01,-0.00624762521858934
2002-02-01,-0.0049129348395879
2002-03-01,-0.00443943994182368
2002-04-01,-0.00482714052529666
2002-05-01,-0.00505371027719247
2002-06-01,-0.0051191491975113
2002-07-01,-0.00502345728625127
2002-08-01,-0.00468194134374841
2002-09-01,-0.00409460137000078
2002-10-01,-0.00326143736500966
2002-11-01,-0.00295706834000479
2002-12-01,-0.00318149429498571
2003-01-01,-0.00393471522995226
2003-02-01,-0.0050469840412295
2003-03-01,-0.00651830072881864
2003-04-01,-0.00834866529271734
2003-05-01,-0.00954475746415464
2003-06-01,-0.0101065772431284
2003-07-01,-0.0100341246296394
2003-08-01,-0.00959041800403844
2003-09-01,-0.00877545736632343
2003-10-01,-0.00758924271649529
2003-11-01,-0.0068757570166667
2003-12-01,-0.0066350002668377
2004-01-01,-0.00686697246700915
2004-02-01,-0.00627473616679477
2004-03-01,-0.0048582913661961
2004-04-01,-0.00261763806521229
2004-05-01,-0.00101924619105771
2004-06-01,-6.31157437302403e-05
2004-07-01,0.000250753276767896
2004-08-01,0.000491155574316362
2004-09-01,0.000658091148915495
2004-10-01,0.000751560000564755
2004-11-01,0.000711257213052937
2004-12-01,0.000537182786382109
2005-01-01,0.000229336720550044
2005-02-01,0.000130372663679456
2005-03-01,0.000240290615770107
2005-04-01,0.00055909057682234
2005-05-01,6.94726344686213e-05
2005-06-01,-0.00122856321129033
2005-07-01,-0.00333501696045442
2005-08-01,-0.004535367677405
2005-09-01,-0.00482961536214107
2005-10-01,-0.00421776001466379
2005-11-01,-0.00355147616679674
2005-12-01,-0.00283076381853972
2006-01-01,-0.00205562296989352
2006-02-01,-0.00187012053031172
2006-03-01,-0.00227425649979561
2006-04-01,-0.00326803087834451
2006-05-01,-0.00359045131422356
2006-06-01,-0.00324151780743258
2006-07-01,-0.00222123035797172
2006-08-01,-0.00155023572712797
2006-09-01,-0.0012285339149002
2006-10-01,-0.00125612492128862
2006-11-01,-0.00109592898191955
2006-12-01,-0.000747946096791151
2007-01-01,-0.000212176265904928
2007-02-01,0.00035589839124534
2007-03-01,0.000956277874659461
2007-04-01,0.00158896218433751
2007-05-01,0.00200541162350394
2007-06-01,0.00220562619215783
2007-07-01,0.00218960589030019
2007-08-01,0.00251839639711032
2007-09-01,0.00319199771258886
2007-10-01,0.00421040983673528
2007-11-01,0.00500720549022024
2007-12-01,0.00558238467304466
2008-01-01,0.00593594738520658
2008-02-01,0.00634737752434202
2008-03-01,0.00681667509045054
2008-04-01,0.00734384008353186
2008-05-01,0.00791775126915297
2008-06-01,0.00853840864731487
2008-07-01,0.00920581221801621
2008-08-01,0.00801830394717923
2008-09-01,0.00497588383480446
2008-10-01,7.85518808920741e-05
2008-11-01,-0.00407969501825547
2008-12-01,-0.00749885686263723
2009-01-01,-0.0101789336522537
2009-02-01,-0.0117397526104683
2009-03-01,-0.0121813137372784
2009-04-01,-0.0115036170326858
2009-05-01,-0.0106314800820234
2009-06-01,-0.00956490288529065
2009-07-01,-0.00830388544248823
2009-08-01,-0.00688571699992184
2009-09-01,-0.00531039755759066
2009-10-01,-0.00357792711549484
