Data;Valor_FOB_MM;Qtde_MM_t;Preço_US$_t;
10/2010;430,5;1,0;424,9;
09/2010;824,1;2,0;410,3;
08/2010;1.155,8;3,0;389,6;
07/2010;1.496,0;4,0;374,1;
06/2010;1.488,4;4,0;368,4;
05/2010;2.089,6;5,7;366,8;
04/2010;1.797,3;4,9;365,8;
03/2010;1.164,9;3,1;377,5;
02/2010;265,5;0,7;400,0;
01/2010;45,3;0,1;487,4;
12/2009;99,0;0,2;487,6;
11/2009;84,1;0,2;452,8;
10/2009;315,7;0,7;436,8;
09/2009;817,7;1,8;446,7;
08/2009;1.306,2;3,0;438,4;
07/2009;1.468,0;3,3;438,6;
06/2009;2.576,9;6,2;417,4;
05/2009;1.723,8;4,7;368,4;
04/2009;1.542,0;4,5;343,2;
03/2009;973,4;2,6;368,3;
02/2009;264,4;0,7;383,5;
01/2009;253,0;0,6;411,6;
12/2008;332,3;0,8;442,9;
11/2008;311,2;0,7;430,1;
10/2008;524,6;1,1;494,2;
09/2008;900,4;1,9;483,5;
08/2008;1.219,8;2,4;517,2;
07/2008;1.901,3;4,0;477,5;
06/2008;1.506,0;3,5;424,9;
05/2008;1.860,3;4,4;418,8;
04/2008;1.397,6;3,3;417,6;
03/2008;561,8;1,4;400,1;
02/2008;186,2;0,4;437,9;
01/2008;250,7;0,6;418,1;
12/2007;190,5;0,5;367,0;
11/2007;267,5;0,8;339,5;
10/2007;664,2;2,0;328,0;
09/2007;543,7;1,8;299,3;
08/2007;763,4;2,7;285,5;
07/2007;859,6;3,1;277,9;
06/2007;817,4;3,1;265,9;
05/2007;825,7;3,2;261,9;
04/2007;844,9;3,2;266,9;
03/2007;561,8;2,1;273,5;
02/2007;206,6;0,8;266,6;
01/2007;138,5;0,5;262,0;
12/2006;116,7;0,5;247,7;
11/2006;236,0;1,0;236,4;
10/2006;379,3;1,7;225,6;
09/2006;449,1;2,0;225,3;
08/2006;657,7;2,9;226,7;
07/2006;978,0;4,4;223,5;
06/2006;510,4;2,3;223,0;
05/2006;695,9;3,2;219,5;
04/2006;653,1;2,9;224,1;
03/2006;620,4;2,7;233,8;
02/2006;171,6;0,7;238,2;
01/2006;179,0;0,7;249,9;
12/2005;233,9;1,0;245,5;
11/2005;340,7;1,4;250,6;
10/2005;441,2;1,8;246,2;
09/2005;543,3;2,2;246,5;
08/2005;686,8;2,8;249,5;
07/2005;660,9;2,7;245,6;
06/2005;695,7;3,0;235,7;
05/2005;527,6;2,3;229,7;
04/2005;613,5;2,7;227,4;
03/2005;400,7;1,8;218,5;
02/2005;90,8;0,4;219,4;
01/2005;76,8;0,4;218,1;
12/2004;97,1;0,4;242,6;
11/2004;115,6;0,5;238,3;
10/2004;240,3;0,9;261,1;
09/2004;647,7;2,3;282,7;
08/2004;580,5;2,0;289,8;
07/2004;659,0;2,3;284,8;
06/2004;1.045,1;3,7;281,5;
05/2004;738,8;2,7;276,9;
04/2004;568,6;2,0;283,5;
03/2004;453,4;1,6;286,8;
02/2004;127,3;0,5;280,8;
01/2004;99,2;0,3;289,3;
12/2003;86,0;0,3;256,4;
11/2003;130,5;0,5;248,9;
10/2003;485,0;2,1;229,3;
09/2003;469,8;2,2;215,6;
08/2003;539,9;2,5;218,1;
07/2003;408,0;1,8;221,5;
06/2003;528,5;2,5;210,8;
05/2003;689,9;3,3;210,4;
04/2003;590,0;2,9;204,0;
03/2003;267,8;1,3;207,5;
02/2003;40,7;0,2;214,8;
01/2003;50,7;0,2;206,2;
12/2002;121,2;0,6;217,2;
11/2002;99,0;0,5;210,4;
10/2002;353,3;1,7;209,8;
09/2002;768,9;3,8;199,8;
08/2002;336,6;1,7;197,9;
07/2002;475,9;2,6;183,4;
06/2002;217,6;1,3;173,1;
05/2002;217,1;1,3;171,8;
04/2002;288,1;1,7;168,8;
03/2002;111,7;0,7;171,6;
02/2002;14,3;0,1;174,4;
01/2002;26,2;0,1;184,1;
12/2001;41,7;0,2;183,8;
11/2001;36,1;0,2;186,8;
10/2001;156,8;0,8;189,3;
09/2001;280,2;1,5;186,4;
08/2001;445,4;2,5;178,4;
07/2001;337,8;2,0;173,0;
06/2001;435,7;2,7;164,2;
